loteria,fecha,numero,serie
boyaca,2011-04-30,9245,20
boyaca,2011-05-07,6385,83
boyaca,2011-05-14,1190,56
boyaca,2011-05-21,3458,31
boyaca,2011-05-28,9043,031
boyaca,2011-06-04,0489,119
boyaca,2011-06-11,1610,19
boyaca,2011-06-18,6149,068
boyaca,2011-06-25,8089,92
boyaca,2011-07-02,1404,14
boyaca,2011-07-09,3450,43
boyaca,2011-07-16,9093,19
boyaca,2011-07-23,2436,054
boyaca,2011-07-30,8664,117
boyaca,2011-08-06,6598,016
boyaca,2011-08-13,0908,092
boyaca,2011-08-20,5375,66
boyaca,2011-08-27,2523,75
boyaca,2011-09-03,7517,120
boyaca,2011-09-10,9037,56
boyaca,2011-09-17,7487,32
boyaca,2011-09-24,7487,127
boyaca,2011-10-01,8529,123
boyaca,2011-10-08,8241,69
boyaca,2011-10-15,1555,70
boyaca,2011-10-22,7527,12
boyaca,2011-10-29,4215,051
boyaca,2011-11-05,1314,064
boyaca,2011-11-12,7256,128
boyaca,2011-11-19,5072,13
boyaca,2011-11-26,3060,115
boyaca,2011-12-03,7650,004
boyaca,2011-12-10,4271,88
boyaca,2011-12-17,1644,053
boyaca,2011-12-24,7369,66
boyaca,2011-12-31,8354,84
boyaca,2012-03-17,1921,105
boyaca,2012-03-24,3943,107
boyaca,2012-03-31,9751,087
boyaca,2012-04-07,1391,011
boyaca,2012-04-14,6357,032
boyaca,2012-04-21,8352,054
boyaca,2012-04-28,6574,105
boyaca,2012-05-05,0558,015
boyaca,2012-05-12,0391,112
boyaca,2012-05-19,7741,118
boyaca,2012-05-26,4848,010
boyaca,2012-06-02,6472,115
boyaca,2012-06-09,7699,114
boyaca,2012-06-16,9072,082
boyaca,2012-06-23,0956,129
boyaca,2012-06-30,0967,055
boyaca,2012-07-07,5749,069
boyaca,2012-07-14,5247,066
boyaca,2012-07-21,9324,084
boyaca,2012-07-28,3256,113
boyaca,2012-08-04,1183,119
boyaca,2012-08-11,0969,122
boyaca,2012-08-18,7854,086
boyaca,2012-08-25,3902,020
boyaca,2012-09-01,1540,119
boyaca,2012-09-08,6260,003
boyaca,2012-09-15,8424,104
boyaca,2012-09-22,1218,056
boyaca,2012-09-29,2755,023
boyaca,2012-10-06,4480,024
boyaca,2012-10-13,0401,039
boyaca,2012-10-20,6322,053
boyaca,2012-10-27,9252,077
boyaca,2012-11-03,1746,033
boyaca,2012-11-10,3579,078
boyaca,2012-11-17,3865,126
boyaca,2012-11-24,6116,094
boyaca,2012-12-01,6176,100
boyaca,2012-12-08,5584,089
boyaca,2012-12-15,2844,078
boyaca,2012-12-22,2493,029
boyaca,2012-12-29,6396,009
boyaca,2013-01-05,3814,091
boyaca,2013-01-12,8974,002
boyaca,2013-01-19,1632,106
boyaca,2013-01-26,2663,015
boyaca,2013-02-02,4482,129
boyaca,2013-02-09,2392,055
boyaca,2013-02-16,1056,032
boyaca,2013-02-23,4130,045
boyaca,2013-03-02,4363,068
boyaca,2013-03-09,0525,069
boyaca,2013-03-16,2343,053
boyaca,2013-03-23,5655,068
boyaca,2013-03-30,5506,064
boyaca,2013-04-06,2278,070
boyaca,2013-04-13,1722,013
boyaca,2013-04-20,6059,033
boyaca,2013-04-27,9333,046
boyaca,2013-05-04,8634,110
boyaca,2013-05-11,0257,067
boyaca,2013-05-18,2362,112
boyaca,2013-05-25,2238,038
boyaca,2013-06-01,7407,071
boyaca,2013-06-08,6670,031
boyaca,2013-06-15,0115,129
boyaca,2013-06-22,6208,005
boyaca,2013-06-29,9464,095
boyaca,2013-07-06,8576,040
boyaca,2013-07-13,7672,107
boyaca,2013-07-20,9864,011
boyaca,2013-07-27,8248,041
boyaca,2013-08-03,6859,097
boyaca,2013-08-10,2729,047
boyaca,2013-08-17,8301,027
boyaca,2013-08-24,1451,052
boyaca,2013-08-31,8385,121
boyaca,2013-09-07,8013,042
boyaca,2013-09-14,6217,087
