loteria,fecha,numero,serie
cundinamarca,2022-07-25 00:00:00,9154,000
cundinamarca,2022-07-18 00:00:00,0083,002
cundinamarca,2022-07-11 00:00:00,6056,246
cundinamarca,2022-07-05 00:00:00,2731,032
cundinamarca,2022-06-28 00:00:00,4040,089
cundinamarca,2022-06-21 00:00:00,1083,147
cundinamarca,2022-06-13 00:00:00,0542,003
cundinamarca,2022-06-06 00:00:00,9400,035
cundinamarca,2022-05-31 00:00:00,2989,104
cundinamarca,2022-05-23 00:00:00,2722,235
cundinamarca,2022-05-16 00:00:00,6951,176
cundinamarca,2022-05-09 00:00:00,4524,197
cundinamarca,2022-05-02 00:00:00,3596,022
cundinamarca,2022-04-25 00:00:00,2319,045
cundinamarca,2022-04-18 00:00:00,2634,171
cundinamarca,2022-04-11 00:00:00,1605,194
cundinamarca,2022-04-04 00:00:00,7121,216
cundinamarca,2022-03-28 00:00:00,4558,128
cundinamarca,2022-03-22 00:00:00,4184,221
cundinamarca,2022-03-14 00:00:00,0305,164
cundinamarca,2022-03-07 00:00:00,6765,242
cundinamarca,2022-02-28 00:00:00,4545,205
cundinamarca,2022-02-21 00:00:00,1197,183
cundinamarca,2022-02-14 00:00:00,2400,080
cundinamarca,2022-02-07 00:00:00,8724,095
cundinamarca,2022-01-31 00:00:00,0485,110
cundinamarca,2022-01-24 00:00:00,8885,082
cundinamarca,2022-01-17 00:00:00,9139,257
cundinamarca,2022-01-11 00:00:00,7247,019
cundinamarca,2022-01-03 00:00:00,0105,190
cundinamarca,2021-12-27 00:00:00,6499,129
cundinamarca,2021-12-20 00:00:00,4373,042
cundinamarca,2021-12-13 00:00:00,7565,025
cundinamarca,2021-12-06 00:00:00,4936,073
cundinamarca,2021-11-29 00:00:00,6757,033
cundinamarca,2021-11-22 00:00:00,6491,121
cundinamarca,2021-11-16 00:00:00,0617,249
cundinamarca,2021-11-08 00:00:00,1306,047
cundinamarca,2021-11-02 00:00:00,0759,259
cundinamarca,2021-10-25 00:00:00,9849,132
cundinamarca,2021-10-19 00:00:00,6734,022
cundinamarca,2021-10-11 00:00:00,5724,052
cundinamarca,2021-10-04 00:00:00,1340,230
cundinamarca,2021-09-27 00:00:00,4487,109
cundinamarca,2021-09-20 00:00:00,2293,230
cundinamarca,2021-09-13 00:00:00,6881,214
cundinamarca,2021-09-06 00:00:00,9732,180
cundinamarca,2021-08-30 00:00:00,6331,061
cundinamarca,2021-08-23 00:00:00,6758,108
cundinamarca,2021-08-17 00:00:00,2592,001
cundinamarca,2021-08-09 00:00:00,7461,053
cundinamarca,2021-08-02 00:00:00,2915,223
cundinamarca,2021-07-26 00:00:00,1011,135
cundinamarca,2021-07-19 00:00:00,4935,217
cundinamarca,2021-07-12 00:00:00,7459,100
cundinamarca,2021-07-06 00:00:00,8306,052
cundinamarca,2021-06-28 00:00:00,0948,020
cundinamarca,2021-06-21 00:00:00,4356,092
cundinamarca,2021-06-15 00:00:00,6467,035
cundinamarca,2021-06-08 00:00:00,2097,041
cundinamarca,2021-05-31 00:00:00,8243,197
cundinamarca,2021-05-24 00:00:00,1099,155
cundinamarca,2021-05-18 00:00:00,3846,042
cundinamarca,2021-05-10 00:00:00,5531,047
cundinamarca,2021-05-03 00:00:00,2824,028
cundinamarca,2021-04-26 00:00:00,3059,056
cundinamarca,2021-04-19 00:00:00,2262,135
cundinamarca,2021-04-12 00:00:00,4250,125
cundinamarca,2021-04-05 00:00:00,8695,136
cundinamarca,2021-03-29 00:00:00,1796,162
cundinamarca,2021-03-23 00:00:00,1579,158
cundinamarca,2021-03-15 00:00:00,8392,172
cundinamarca,2021-03-08 00:00:00,4117,073
cundinamarca,2021-03-01 00:00:00,1472,096
cundinamarca,2021-02-22 00:00:00,0767,214
cundinamarca,2021-02-15 00:00:00,2591,082
cundinamarca,2021-02-08 00:00:00,2345,156
cundinamarca,2021-02-01 00:00:00,4195,110
cundinamarca,2021-01-25 00:00:00,1358,074
cundinamarca,2021-01-18 00:00:00,3782,055
cundinamarca,2021-01-12 00:00:00,2111,046
cundinamarca,2021-01-04 00:00:00,4916,013
cundinamarca,2020-12-28 00:00:00,2644,138
cundinamarca,2020-12-21 00:00:00,5003,009
cundinamarca,2020-12-14 00:00:00,3784,070
cundinamarca,2020-12-07 00:00:00,9419,195
cundinamarca,2020-11-30 00:00:00,3203,022
cundinamarca,2020-11-23 00:00:00,9881,032
cundinamarca,2020-11-17 00:00:00,2826,174
cundinamarca,2020-11-09 00:00:00,2856,188
cundinamarca,2020-11-03 00:00:00,8314,042
cundinamarca,2020-10-26 00:00:00,7441,025
cundinamarca,2020-10-19 00:00:00,7582,0050
cundinamarca,2020-10-13 00:00:00,6753,009
cundinamarca,2020-10-05 00:00:00,3665,190
cundinamarca,2020-09-28 00:00:00,3803,123
cundinamarca,2020-09-21 00:00:00,2707,092
cundinamarca,2020-09-14 00:00:00,0615,166
cundinamarca,2020-09-07 00:00:00,0252,039
cundinamarca,2020-08-31 00:00:00,4571,047
cruz-roja,2022-07-26 00:00:00,7214,249
cruz-roja,2022-07-19 00:00:00,8122,169
cruz-roja,2022-07-12 00:00:00,2036,024
cruz-roja,2022-07-05 00:00:00,7557,074
cruz-roja,2022-06-28 00:00:00,5350,046
cruz-roja,2022-06-21 00:00:00,4032,049
cruz-roja,2022-06-14 00:00:00,7216,216
cruz-roja,2022-06-07 00:00:00,8105,100
cruz-roja,2022-05-31 00:00:00,8527,091
cruz-roja,2022-05-24 00:00:00,8339,108
cruz-roja,2022-05-17 00:00:00,2119,144
cruz-roja,2022-05-10 00:00:00,2426,180
cruz-roja,2022-05-03 00:00:00,3515,197
cruz-roja,2022-04-26 00:00:00,3470,181
cruz-roja,2022-04-19 00:00:00,8185,036
cruz-roja,2022-04-12 00:00:00,6963,056
cruz-roja,2022-04-05 00:00:00,5672,025
cruz-roja,2022-03-29 00:00:00,8205,231
cruz-roja,2022-03-22 00:00:00,4618,176
cruz-roja,2022-03-15 00:00:00,5393,037
cruz-roja,2022-03-08 00:00:00,6033,167
cruz-roja,2022-03-01 00:00:00,0716,043
cruz-roja,2022-02-22 00:00:00,8240,015
cruz-roja,2022-02-15 00:00:00,6689,205
cruz-roja,2022-02-08 00:00:00,7654,005
cruz-roja,2022-02-01 00:00:00,8131,190
cruz-roja,2022-01-25 00:00:00,2091,174
cruz-roja,2022-01-18 00:00:00,1272,000
cruz-roja,2022-01-11 00:00:00,2759,030
cruz-roja,2022-01-04 00:00:00,9699,159
cruz-roja,2021-12-29 00:00:00,9399,238
cruz-roja,2021-12-21 00:00:00,6841,161
cruz-roja,2021-12-14 00:00:00,0829,077
cruz-roja,2021-12-07 00:00:00,2642,246
cruz-roja,2021-11-30 00:00:00,7684,000
cruz-roja,2021-11-23 00:00:00,5993,206
cruz-roja,2021-11-16 00:00:00,3337,065
cruz-roja,2021-11-09 00:00:00,7298,204
cruz-roja,2021-11-02 00:00:00,3953,181
cruz-roja,2021-10-26 00:00:00,5375,164
cruz-roja,2021-10-19 00:00:00,9510,193
cruz-roja,2021-10-12 00:00:00,1170,080
cruz-roja,2021-10-05 00:00:00,7349,024
cruz-roja,2021-09-28 00:00:00,5962,212
cruz-roja,2021-09-21 00:00:00,9467,210
cruz-roja,2021-09-14 00:00:00,8148,056
cruz-roja,2021-09-07 00:00:00,0550,115
cruz-roja,2021-08-31 00:00:00,5766,148
cruz-roja,2021-08-24 00:00:00,4886,079
