loteria,fecha,numero,serie
medellin,29/04/2011,3714,73
medellin,6/05/2011,841,132
medellin,13/05/2011,9916,48
medellin,20/05/2011,2416,130
medellin,27/05/2011,2081,103
medellin,3/06/2011,9236,226
medellin,10/06/2011,2155,139
medellin,18/06/2011,8646,83
medellin,24/06/2011,1515,136
medellin,1/07/2011,874,139
medellin,8/07/2011,4784,108
medellin,15/07/2011,3642,26
medellin,22/07/2011,1165,96
medellin,29/07/2011,3272,216
medellin,5/08/2011,620,31
medellin,12/08/2011,9132,57
medellin,19/08/2011,7307,109
medellin,26/08/2011,5101,139
medellin,2/09/2011,3914,193
medellin,9/09/2011,9871,28
medellin,16/09/2011,7785,142
medellin,23/09/2011,4014,221
medellin,30/09/2011,8268,181
medellin,7/10/2011,5896,210
medellin,14/10/2011,1302,127
medellin,21/10/2011,6601,113
medellin,28/10/2011,8391,196
medellin,4/11/2011,4779,31
medellin,11/11/2011,6645,184
medellin,18/11/2011,9120,174
medellin,25/11/2011,8207,146
medellin,2/12/2011,7953,236
medellin,9/12/2011,7285,179
medellin,16/12/2011,6368,223
medellin,23/12/2011,5300,185
medellin,6/01/2012,2565,151
medellin,23/03/2012,3424,152
medellin,30/03/2012,2271,46
medellin,7/04/2012,6566,20
medellin,13/04/2012,4286,218
medellin,20/04/2012,860,120
medellin,27/04/2012,7298,186
medellin,4/05/2012,9043,235
medellin,11/05/2012,6866,97
medellin,18/05/2012,7251,233
medellin,25/05/2012,539,125
medellin,1/06/2012,4647,5
medellin,8/06/2012,1334,166
medellin,15/06/2012,3582,247
medellin,22/06/2012,998,240
medellin,29/06/2012,5496,114
medellin,6/07/2012,7307,160
medellin,13/07/2012,944,43
medellin,21/07/2012,5266,21
medellin,27/07/2012,3992,90
medellin,3/08/2012,4238,175
medellin,10/08/2012,1207,246
medellin,17/08/2012,9900,74
medellin,24/08/2012,9259,218
medellin,31/08/2012,9945,23
medellin,7/09/2012,8973,87
medellin,14/09/2012,9129,171
medellin,21/09/2012,6041,80
medellin,28/09/2012,7322,53
medellin,5/10/2012,7179,133
medellin,12/10/2012,515,127
medellin,19/10/2012,6757,249
medellin,26/10/2012,2350,83
medellin,2/11/2012,6991,248
medellin,9/11/2012,1897,137
medellin,16/11/2012,5804,107
medellin,23/11/2012,5032,114
medellin,30/11/2012,609,161
medellin,7/12/2012,5691,69
medellin,14/12/2012,342,200
medellin,21/12/2012,3524,222
medellin,28/12/2012,8200,219
medellin,4/01/2013,1648,20
